Shipment Code,CV Number,No. Of Sacks,Total CBM,Weight,Shipment Status,Posting Date,Order Date,Payment,Product,Product Code,Age Range,Unit,Unit Price,Quantity,Shipping Fee 1,Exchange Rates,PHP,Sub Total (PHP),Transaction Fee,Grand Total,Shipping Fee 2,Shipping Fee 3,Packaging,Suggested Price,Actual Price,Base Price,COGS,Projected Sales Total,Projected Profit,Projected Profit (%),Total Markup
KPC 23930A-00189,,,,,,032025,"September 29, 2025",Paid,Organic Longsleeves Onesies,,0-12m,pc,1.13,340,0.00,60.00,,,,,"1,000.00","1,000.00","1,000.00",,89.00,,,,,,
KPC 23930A-00191,,,,,,033125,,Paid,Nautica Romper,,0-18m,pc,1.72,588,6.82,60.00,,,,,"1,824.84",426.37,426.37,,144.00,,,,,,
KPC 23930A-00191,,,,,,032425,,Paid,Milkberry Onesie + Socks,,6-9m,set,0.96,31,0.18,60.00,,,,,48.10,11.24,11.24,,85.00,,,,,,
KPC 23930A-00191,,,,,,032425,,Paid,Milkberry Headband,,0-24m,pc,0.24,151,0.44,60.00,,,,,117.16,27.37,27.37,,20.00,,,,,,
KPC 23930A-00191,,,,,,040125,,Paid,Little Me Romper,,3-6m,pc,1.26,62,1.08,60.00,,,,,288.62,67.44,67.44,,115.00,,,,,,
KPC 23930A-00191,,,,,,,,Paid,Romper,,3-24m,pc,1.26,100,1.74,60.00,,,,,465.52,108.77,108.77,,105.00,,,,,,
KPC 23930A-00191,,,,,,041025,,Paid,Jumper Set,,3m-12m,set,1.65,56,0.97,60.00,,,,,260.69,60.91,60.91,,155.00,,,,,,
KPC 23930A-00191,,,,,,040525,,Paid,H&M Shorts,,2T-10T,pc,0.64,249,1.44,60.00,,,,,386.38,90.28,90.28,,55.00,,,,,,
KPC 23930A-00191,,,,,,040125,,Paid,Kit Pearl Onesie,,0-24m,pc,0.76,30,0.17,60.00,,,,,46.55,10.88,10.88,,67.00,,,,,,
KPC 23930A-00191,,,,,,041025,,Paid,Dress,,2T-5T,pc,1.92,30,0.35,60.00,,,,,93.10,21.75,21.75,,159.00,,,,,,
KPC 23930A-00191,,,,,,040125,,Paid,Disney Frogsuit,,0-24m,pc,1.30,147,1.71,60.00,,,,,456.21,106.59,106.59,,110.00,,,,,,
KPC 23930A-00191,,,,,,040725,,Paid,Romper,,0-24m,pc,1.33,1380,16.01,60.00,,,,,"4,282.79","1,000.65","1,000.65",,110.00,,,,,,
KPC 23930A-00191,,,,,,032425,,Paid,Milkberry 3-PC Dress,,0-9m,set,2.46,36,0.84,60.00,,,,,223.45,52.21,52.21,,225.00,,,,,,
KPC 23930A-00191,,,,,,041425,,Paid,Kids Romper,,3T-16T,pc,1.37,221,2.56,60.00,,,,,685.87,160.25,160.25,,110.00,,,,,,
KPC 23930A-00191,,,,,,041325,,Paid,Hooded Towel,,0--6m,pc,1.17,94,1.09,60.00,,,,,291.73,68.16,68.16,,95.00,,,,,,
KPC 23930A-00191,,,,,,041425,,Paid,Non-Footed Frogsuit,,0-9m,pc,1.30,87,1.01,60.00,,,,,270.00,63.08,63.08,,110.00,,,,,,
KPC 23930A-00191,,,,,,032425,,Paid,Tops,,0-3T,pc,0.82,119,1.38,60.00,,,,,369.31,86.29,86.29,,85.00,,,,,,
KPC 23930A-00191,,,,,,032525,,Paid,Dress With Hanger,,2T-6X,pc,2.06,60,1.04,60.00,,,,,279.31,65.26,65.26,,185.00,,,,,,
KPC 23930A-00191,,,,,,032425,,Paid,4-PC Set,,0-12m,pc,2.90,40,1.16,60.00,,,,,310.35,72.51,72.51,,239.00,,,,,,
KPC 23930A-00202,,,,,,040625,,Paid,Bear Paw Snugfit,,12m-4T,set,1.52,1300,25.55,60.00,,,,,"7,928.98","1,101.25","1,101.25",,139.00,,,,,,
KPC 23930A-00195,,,,,,041125,,Paid,Dymples Longsleeves Onesie,,0-24m,pc,0.76,2576,27.39,60.00,,,,,"7,953.34","1,104.63","1,104.63",,69.00,,,,,,
KPC 23930A-00195,,,,,,041125,,Paid,Dymples Sleeveless Onesie,,0-24m,pc,0.68,3443,24.41,60.00,,,,,"7,086.79",984.28,984.28,,64.00,,,,,,
