Product Code,Lower Limit,Upper Limit,Prices,Price Adjustment
,,,,
Ruffled Frogsuit (RF-053125),1,10000,₱139.00,
,,,,
Ruffled Zippered Frogsuit (RZF-053125),12,10000,₱139.00,
,,,,
Cotton On Pants (COP-053125),10,10000,₱75.00,
,,,,
Cotton On Jogger (COJ-053125),10,10000,₱75.00,
,,,,
Cotton On & Milky Romper (CO&MR-053125),6,10000,₱125.00,
,,,,
Nine West 3PC Onesie (NW3O-053125),10,10000,₱215.00,
,,,,
Milkberry 2-PC Top And Short Set (M2TASS-052325),12,23,₱173.00,
Milkberry 2-PC Top And Short Set (M2TASS-052325),24,10000,₱168.00,
,,,,
Ruffled Onesie (RO-060225),10,10000,₱59.00,
,,,,
Dymples Onesie Dress (DOD-060225),20,10000,₱152.00,
,,,,
Kotton Kandy 3PC- 4PC set (KK34s-060525),1,10000,₱175.00,
,,,,
Little Beggining Romper (LBR-060525),20,10000,₱89.00,
,,,,
Disney 3-PC set (D3s-060525),1,10000,₱175.00,
,,,,
4-PC set (4s-060525),2,10000,₱345.00,
,,,,
H&M Organic Rompers (HOR-060725),6,10000,₱145.00,
,,,,
H&M Organic Polo Shirts (HOPS-060725),10,10000,₱0.00,
,,,,
H&M Organic Polo Set (HOPS-060725),8,10000,₱225.00,
,,,,
Milkberry 2PC Girl Set (M2GS-060725),6,10000,₱160.00,
,,,,
H&M Organic Set (HOS-060725),1,10000,₱215.00,
,,,,
Nicole Miller Onesie (NMO-060725),50,99,₱63.00,
Nicole Miller Onesie (NMO-060725),100,10000,₱58.00,
,,,,
Billieblush Poncho Towel (BPT-060725),1,10000,₱85.00,
,,,,
Guess Frogsuit (GF-060725),6,10000,₱180.00,
,,,,
H&M 2PC Set (H2S-060725),6,10000,₱255.00,
,,,,
Zippered Frogsuit (ZF-060725),1,10000,₱129.00,
,,,,
Ruffled Sleeveless Onesie (RSO-060725),30,59,₱69.00,
Ruffled Sleeveless Onesie (RSO-060725),60,10000,₱64.00,
,,,,
H&M Organic Jumper (HOJ-060725),6,10000,₱105.00,
,,,,
H&M Long Overalls (HLO-060725),10,10000,₱125.00,
,,,,
Mixed Tops (MT-060725),10,10000,₱78.00,
,,,,
Billieblush Romper (BR-060725),6,10000,₱105.00,
,,,,
H&M 2-PC Set (H2S-060725),6,10000,₱229.00,
,,,,
H&M Pants (HP-060725),1,10000,₱0.00,
,,,,
H&M Hoodie Blouse (HHB-060725),6,10000,₱85.00,
,,,,
Onesie 3-PC Set (O3S-061225),1,10000,₱129.00,
,,,,
Onesie (O-061725),1,10000,₱39.00,
,,,,
Banboo Cotton Tops (BCT-052325),10,10000,₱57.00,
,,,,
Onesie (O-063025),1,10000,₱39.00,
,,,,
Milkbery 3-PC Set (M3S-070225),6,10000,₱210.00,
,,,,
Emily Oliver Rompers (EOR-070625),6,10000,₱145.00,
,,,,
Organic Romper (OR-070525),1,10000,₱145.00,
,,,,
Rabbit Bear Romper (RBR-070525),6,10000,₱139.00,
,,,,
Rabbit Bear Tops (RBT-070525),1,59,₱84.00,
Rabbit Bear Tops (RBT-070525),60,10000,₱79.00,
,,,,
Rabbit Beart Girls 2-PC Set (RBG2S-070525),6,11,₱193.00,
Rabbit Beart Girls 2-PC Set (RBG2S-070525),12,10000,₱188.00,
,,,,
Rabbit Bear 2-PC Set (RB2S-070525),6,10000,₱179.00,
,,,,
Rabbit Bear Boys 2-PC Set (RBB2S-070525),6,10000,₱179.00,
,,,,
Rabbit Bear Jumper 2-PC Set (RBJ2S-070525),6,10000,₱182.00,
,,,,
Organic Dress (OD-070525),1,49,₱124.00,
Organic Dress (OD-070525),50,10000,₱119.00,
,,,,
H&M Baby Jogger (HBJ-070525),1,59,₱79.00,
H&M Baby Jogger (HBJ-070525),60,10000,₱74.00,
,,,,
Rabbit Bear Undies (RBU-070525),30,10000,₱45.00,
,,,,
Rabbit Bear Quilted Long Sleeves Dress (RBQLSD-070525),12,10000,₱135.00,
,,,,
H&M Jogger (HJ-070525),1,59,₱79.00,
H&M Jogger (HJ-070525),60,10000,₱74.00,
,,,,
H&M Organic Polo (HOP-070825),1,10000,₱110.00,
,,,,
Rabbit Bear Polo (RBP-070825),6,10000,₱110.00,
,,,,
H&M Shorts (HS-070825),1,10000,₱85.00,
,,,,
Rabbit Bear Shorts (RBS-070825),20,10000,₱69.00,
,,,,
Rabbit Bear Long Sleeves Dress (RBLSD-070825),1,10000,₱135.00,
,,,,
Rabbit Bear Pants (RBP-070825),6,10000,₱74.00,
,,,,
Rabbit Bear Jogger & Pants (RBJ&P-070825),15,10000,₱85.00,
,,,,
Rabbit Bear Long Sleeves Tops (RBLST-070825),1,10000,₱95.00,
,,,,
H&M Organic Pants (HOP-070825),6,10000,₱85.00,
,,,,
